NVL,Gap
0,0.03316994845073396
0.01,0.03909202809692438
0.02,0.0042265704431047515
0.03,0.01173979339753641
0.04,0.0010074607028360387
0.05,-0.0007454737520080157
0.06,-0.02318715134455952
0.07,-0.027674016819218213
0.08,-0.02583831426822152
0.09,-0.039241598552995374
0.1,-0.0057595798095237535
0.11,-0.02474561198377282
0.12,-0.03467124250524748
0.13,-0.058249824108910865
0.14,-0.017987396334841647
0.15,-0.06681768264705853
0.16,-0.040842750320366154
0.17,-0.06473570373225183
0.18,-0.02758017204238912
0.19,-0.05266999357588356
0.2,-0.024434686827094283
0.21,-0.031122576679764348
0.22,-0.09156707989028211
0.23,-0.08467810780530957
0.24,-0.05269981501672235
0.25,-0.06929794039019967
0.26,-0.10807564373076906
0.27,-0.09721344505454581
0.28,-0.1096537545391304
0.29,-0.07689967698924721
0.3,-0.11061963810634257
0.31,-0.13438169135964925
0.32,-0.1154158383887468
0.33,-0.10796706983673386
0.34,-0.14729604091903745
0.35,-0.06776083850588294
0.36,-0.09230940509842515
0.37,-0.11172250304421756
0.38,-0.11095931798711771
0.39,-0.14751446191919204
0.4,-0.07358298090764333
0.41,-0.12550338382826468
0.42,-0.07806037229074929
0.43,-0.08231571146507671
0.44,-0.09226643551440321
0.45,-0.03545774063459568
0.46,0.002615204888438108
0.47,0.015651499887005673
0.48,0.007748655657439402
0.49,0.0029533700709219244
0.5,0.0003183244758842541
0.51,-0.0010994705535713654
0.52,-0.010367863528399265
0.53,-0.014594605416666668
0.54,-0.0075493771544714195
0.55,0.03670997022564101
0.56,0.09060539696787134
0.57,0.07382675368852443
0.58,0.08673536492211872
0.59,0.12834751272887276
0.6,0.07087834725474688
0.61,0.14814955248704653
0.62,0.11050486135338358
0.63,0.11767428332723946
0.64,0.09230789033730147
0.65,0.06597860036257333
0.66,0.14860715843478303
0.67,0.1052903584159777
0.68,0.11716188959899765
0.69,0.13734082752212423
0.7,0.109915425144454
0.71,0.07789795762312615
0.72,0.10882358164406747
0.73,0.09693421768060854
0.74,0.10723581942638605
0.75,0.07033062314079427
0.76,0.05381625290268451
0.77,0.08440933443181779
0.78,0.08969866521292236
0.79,0.03830649883629215
0.8,0.02228855678700338
0.81,0.0498359069105691
0.82,0.026733411865671602
0.83,0.06948573775681356
0.84,0.03993954434389139
0.85,0.06679740718052682
0.86,0.01820638871331831
0.87,0.058340843230769227
0.88,0.03435251604826556
0.89,0.025533434153225596
0.9,0.006262160400421426
0.91,0.03854202809379696
0.92,0.02485896194650816
0.93,0.028271892125603975
0.94,0.021319338901099005
0.95,0.0031597763339731187
0.96,-0.000938497586206911
0.97,-0.011687507572706923
0.98,-0.004226567475508657
0.99,-0.03909202712954323
1,-0.03316996333333343
