Count,Category,DaysTilClose
91,1,5
90,1,10
89,1,15
82,1,20
81,1,25
78,1,30
77,1,35
71,1,40
71,1,45
71,1,50
70,1,55
70,1,60
65,1,65
60,1,70
60,1,75
58,1,80
57,1,85
56,1,90
55,1,95
53,1,100
51,1,105
50,1,110
49,1,115
49,1,120
48,1,125
48,1,130
47,1,135
47,1,140
46,1,145
46,1,150
46,1,155
46,1,160
46,1,165
45,1,170
44,1,175
44,1,180
44,1,185
42,1,190
41,1,195
39,1,200
38,1,205
38,1,210
37,1,215
36,1,220
33,1,225
32,1,230
32,1,235
32,1,240
31,1,245
30,1,250
27,1,255
27,1,260
25,1,265
23,1,270
22,1,275
212,2,5
210,2,10
205,2,15
183,2,20
178,2,25
174,2,30
172,2,35
158,2,40
157,2,45
155,2,50
154,2,55
152,2,60
149,2,65
96,2,70
93,2,75
92,2,80
90,2,85
88,2,90
86,2,95
83,2,100
80,2,105
80,2,110
80,2,115
75,2,120
72,2,125
67,2,130
65,2,135
65,2,140
64,2,145
58,2,150
55,2,155
53,2,160
51,2,165
48,2,170
46,2,175
44,2,180
40,2,185
33,2,191
32,2,195
31,2,200
31,2,205
31,2,210
30,2,215
25,2,220
25,2,225
22,2,230
22,2,235
20,2,241
19,2,245
19,2,250
18,2,255
15,2,262
15,2,266
15,2,270
15,2,276
72,3,5
71,3,10
70,3,15
67,3,20
65,3,25
63,3,30
61,3,35
58,3,40
58,3,45
56,3,50
54,3,55
54,3,60
53,3,65
51,3,70
49,3,75
48,3,80
46,3,85
43,3,90
40,3,95
40,3,100
39,3,105
39,3,110
38,3,115
34,3,120
33,3,125
33,3,130
31,3,135
31,3,140
31,3,145
31,3,150
31,3,155
28,3,160
25,3,165
24,3,170
24,3,175
23,3,180
22,3,185
22,3,190
19,3,196
19,3,200
18,3,205
18,3,210
18,3,215
17,3,220
17,3,225
15,3,230
15,3,236
15,3,240
14,3,246
13,3,251
13,3,256
12,3,260
11,3,265
9,3,270
8,3,275
71,4,5
71,4,10
71,4,15
71,4,20
70,4,25
66,4,30
66,4,35
66,4,40
65,4,45
65,4,50
65,4,55
65,4,60
61,4,65
60,4,70
58,4,75
57,4,80
56,4,85
52,4,90
50,4,95
49,4,100
45,4,105
45,4,110
45,4,115
45,4,120
44,4,125
42,4,130
38,4,135
37,4,140
37,4,145
37,4,150
36,4,155
36,4,160
35,4,165
34,4,170
34,4,175
33,4,180
32,4,185
31,4,191
30,4,195
29,4,200
29,4,205
27,4,210
26,4,215
25,4,220
24,4,227
23,4,231
22,4,235
21,4,242
21,4,245
20,4,250
18,4,255
18,4,261
17,4,267
17,4,271
15,4,275
