Count,Category,TradeNum
91,1,5
83,1,10
76,1,15
68,1,20
66,1,25
64,1,30
60,1,35
58,1,40
57,1,45
56,1,50
56,1,55
54,1,60
53,1,65
51,1,70
50,1,75
46,1,80
44,1,85
40,1,90
37,1,95
35,1,100
35,1,105
33,1,110
32,1,115
31,1,120
29,1,125
29,1,130
28,1,135
27,1,140
27,1,145
25,1,150
24,1,155
24,1,160
22,1,165
22,1,170
21,1,175
21,1,180
20,1,185
20,1,190
19,1,195
18,1,200
17,1,205
15,1,210
15,1,215
15,1,220
13,1,225
13,1,230
13,1,235
13,1,240
12,1,245
11,1,250
11,1,255
10,1,260
10,1,265
10,1,270
9,1,275
9,1,280
9,1,285
9,1,290
9,1,295
9,1,300
9,1,305
9,1,310
9,1,315
9,1,320
8,1,325
8,1,330
8,1,335
8,1,340
7,1,345
7,1,350
7,1,355
7,1,360
7,1,365
6,1,370
5,1,375
5,1,380
5,1,385
5,1,390
5,1,395
5,1,400
5,1,405
4,1,410
4,1,415
4,1,420
4,1,425
4,1,430
4,1,435
3,1,440
3,1,445
3,1,450
3,1,455
3,1,460
3,1,465
3,1,470
3,1,475
3,1,480
3,1,485
3,1,490
2,1,495
2,1,500
2,1,505
2,1,510
2,1,515
1,1,520
214,2,5
184,2,10
175,2,15
170,2,20
162,2,25
156,2,30
150,2,35
143,2,40
137,2,45
134,2,50
129,2,55
127,2,60
124,2,65
123,2,70
116,2,75
108,2,80
100,2,85
79,2,90
62,2,95
55,2,100
45,2,105
38,2,110
35,2,115
33,2,120
32,2,125
28,2,130
26,2,135
25,2,140
23,2,145
23,2,150
20,2,155
19,2,160
17,2,165
16,2,170
13,2,175
13,2,180
13,2,185
12,2,190
11,2,195
11,2,200
10,2,205
10,2,210
9,2,215
8,2,220
7,2,225
7,2,230
7,2,235
7,2,240
6,2,245
6,2,250
6,2,255
6,2,260
6,2,265
6,2,270
6,2,275
6,2,280
6,2,285
6,2,290
6,2,295
5,2,300
5,2,305
4,2,310
4,2,315
4,2,320
4,2,325
3,2,330
2,2,335
2,2,340
2,2,345
2,2,350
2,2,355
2,2,360
2,2,365
2,2,370
2,2,375
2,2,380
2,2,385
2,2,390
2,2,395
2,2,400
2,2,405
2,2,410
2,2,415
2,2,420
2,2,425
2,2,430
2,2,435
2,2,440
2,2,445
2,2,450
2,2,455
2,2,460
2,2,465
2,2,470
2,2,475
2,2,480
2,2,485
2,2,490
2,2,495
2,2,500
2,2,505
2,2,510
2,2,515
2,2,520
72,3,5
64,3,10
61,3,15
60,3,20
59,3,25
58,3,30
52,3,35
51,3,40
50,3,45
49,3,50
48,3,55
47,3,60
46,3,65
44,3,70
43,3,75
43,3,80
41,3,85
40,3,90
38,3,95
38,3,100
37,3,105
36,3,110
35,3,115
33,3,120
29,3,125
28,3,130
25,3,135
21,3,140
21,3,145
21,3,150
20,3,155
19,3,160
19,3,165
18,3,170
17,3,175
15,3,180
15,3,185
15,3,190
13,3,195
13,3,200
12,3,205
11,3,210
10,3,215
9,3,220
9,3,225
9,3,230
9,3,235
8,3,240
8,3,245
8,3,250
6,3,255
6,3,260
5,3,265
5,3,270
4,3,275
4,3,280
4,3,285
4,3,290
4,3,295
4,3,300
4,3,305
4,3,310
4,3,315
3,3,320
3,3,325
2,3,330
2,3,335
2,3,340
2,3,345
2,3,350
2,3,355
2,3,360
2,3,365
2,3,370
2,3,375
2,3,380
2,3,385
2,3,390
2,3,395
2,3,400
2,3,405
2,3,410
2,3,415
2,3,420
2,3,425
2,3,430
2,3,435
2,3,440
2,3,445
2,3,450
2,3,455
2,3,460
2,3,465
2,3,470
1,3,475
1,3,480
1,3,485
1,3,490
1,3,495
1,3,500
1,3,505
1,3,510
1,3,515
1,3,520
71,4,5
70,4,10
63,4,15
61,4,20
58,4,25
55,4,30
55,4,35
54,4,40
53,4,45
50,4,50
49,4,55
47,4,60
46,4,65
45,4,70
43,4,75
42,4,80
37,4,85
34,4,90
34,4,95
30,4,100
27,4,105
24,4,110
23,4,115
21,4,120
18,4,125
17,4,130
16,4,135
16,4,140
15,4,145
13,4,150
13,4,155
11,4,160
9,4,165
9,4,170
7,4,175
7,4,180
7,4,185
6,4,190
5,4,195
5,4,200
4,4,205
4,4,210
4,4,215
4,4,220
3,4,225
3,4,230
3,4,235
3,4,240
3,4,245
3,4,250
3,4,255
3,4,260
3,4,265
3,4,270
3,4,275
3,4,280
3,4,285
3,4,290
3,4,295
3,4,300
3,4,305
3,4,310
3,4,315
3,4,320
3,4,325
3,4,330
3,4,335
3,4,340
3,4,345
3,4,350
3,4,355
3,4,360
3,4,365
2,4,370
2,4,375
2,4,380
2,4,385
2,4,390
2,4,395
2,4,400
2,4,405
2,4,410
2,4,415
1,4,420
1,4,425
1,4,430
1,4,435
1,4,440
1,4,445
1,4,450
1,4,455
1,4,460
1,4,465
1,4,470
1,4,475
1,4,480
1,4,485
1,4,490
1,4,495
1,4,500
1,4,505
1,4,510
1,4,515
1,4,520
